CODIGO;COD_PROV;COD_FAB;TIPO;MARCA;PRESENT;DETALLE;ID_PROV;PROVE;STOCK;MINIMO;PTOPEDIR;STKCONS;C_ADQ_ANT;LISTA_ANT;PCIO_ANT;CTO_ADQ;FEC_ADQ;CTO_REP;FEC_ACT;LISTA;MG_RUBRO;MARGEN;PRECIO;ALIC_IVA;PCIOT;COD_ANT;VTO;FACTURA;CREDEN;MONEDA;COTIZ;DTOMAX;DTOEFE;DTOTAR;DTOTARC;STKSUC1;STKSUC2;STKSUC3;ID_MARCA;ID_RUBRO;ID_FLIA;ID_SFLIA;SUBPROD;CODIVA;STKINI;ID_MI;STKINI1
6137;21566;;;SIERRA;;PUNTA SIERRA C.30 165GR SBT M.2145 X 100 (21566);1217;BOWIE SRL;0;1;1;0;0;0;0;0;2023-11-21;0;2023-11-21;0;30;0;0;0.21;0;A3544;;0;1;USD;1050;6;0;0;0;0;0;0;196;10;29;61;0;5;0;0;0
6138;21446;100;;SPEER;;PUNTA SPEER C.338 200GR HCSP X50 M.2405 (21446);1217;BOWIE SRL;100;1;1;0;0.6;0;0.93;0.01;2024-05-21;0.6;2024-05-21;0.6;30;55.65;0.9339;0.21;1.13;A2376;;0;1;USD;1050;6;0;0;0;0;0;0;245;10;29;61;0;5;100;0;0
6139;21447;;;SPEER;;PUNTA SPEER C.338 225GR BTSP X50 M.2406 (21447);1217;BOWIE SRL;0;1;1;0;0.83;0;1.29;0.01;2024-05-21;0.85;2024-05-21;0.85;30;55.5647;1.3223;0.21;1.6;A2376;;0;1;USD;1050;6;0;0;0;0;0;0;245;10;29;61;0;5;0;0;0
6140;21429;;;SPEER;;PUNTA SPEER C.30 180GR SPTZ X100 M.2053 (21429);1217;BOWIE SRL;300;1;1;0;0.46;0;0.71;0;2024-05-21;0.45;2024-05-21;0.45;30;54.2667;0.6942;0.21;0.84;A2376;;0;1;USD;1050;6;0;0;0;0;0;0;245;10;29;61;0;5;300;0;0
6141;21421;;;SPEER;;PUNTA SPEER C.30 165GR BT X100 M.2034 (21421);1217;BOWIE SRL;100;1;1;0;0.41;0;0.63;0;2024-05-21;0.4;2024-05-21;0.4;30;52.9;0.6116;0.21;0.74;A2376;;0;1;USD;1050;6;0;0;0;0;0;0;245;10;29;61;0;5;200;0;0
6142;21428;;;SPEER;;PUNTA SPEER C.30 180GR BT X100 M.2052 (21428);1217;BOWIE SRL;300;1;1;0;0.49;0;0.76;0;2024-05-21;0.45;2024-05-21;0.45;30;54.2667;0.6942;0.21;0.84;A2376;;0;1;USD;1050;6;0;0;0;200;0;0;245;10;29;61;0;5;500;0;0
6143;21422;;;SPEER;;PUNTA SPEER C.30 165GR SPTZ X100 M.2035 (21422);1217;BOWIE SRL;400;1;1;0;0.46;0;0.71;0;2024-05-21;0.45;2024-05-21;0.45;30;54.2667;0.6942;0.21;0.84;A2376;;0;1;USD;1050;6;0;0;0;-100;0;0;245;10;29;61;0;5;500;0;0
6144;21425;;;SPEER;;PUNTA SPEER C.30 165GR GRAN SLAM X50 M.2038 (21425);1217;BOWIE SRL;150;1;1;0;0.65;0;1.01;0;2024-05-21;0.65;2024-05-21;0.65;30;55.1231;1.0083;0.21;1.22;A2376;;0;1;USD;1050;6;0;0;0;0;0;0;245;10;29;61;0;5;200;0;0
6145;21435;;;SPEER;;PUNTA SPEER C.30 180GR GRAN SLAM X50 M.2063 (21435);1217;BOWIE SRL;200;1;1;0;0.67;0;1.04;0;2024-05-21;0.66;2024-05-21;0.66;30;55.2727;1.0248;0.21;1.24;A2376;;0;1;USD;1050;6;0;0;0;0;0;0;245;10;29;61;0;5;200;0;0
6146;21409;;;SPEER;;PUNTA SPEER C.243 100GR BTSP X100 M.1220 (21409);1217;BOWIE SRL;0;1;1;0;0.35;0;0.54;0;2024-05-21;0.34;2024-05-21;0.34;30;53.1471;0.5207;0.21;0.63;A2376;;0;1;USD;1050;6;0;0;0;0;0;0;245;10;29;61;0;5;200;0;0
